# blastp
# Iteration: 0
# Query: AUM86167.1 lytic polysaccharide monooxygenase [Trametes coccinea]
# RID: YKRFZRNT013
# Database: nr_cluster_seq
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives
# 1314 hits found
AUM86167.1	AUM86167.1	100.000	418	0	0	1	418	1	418	0.0	868	100.00
AUM86167.1	CDO76990.1	86.667	375	47	2	1	374	1	373	0.0	660	92.80
AUM86167.1	KAI0366278.1	78.226	372	66	2	1	372	1	357	0.0	582	85.22
AUM86167.1	5NO7_A	100.000	270	0	0	19	288	1	270	0.0	579	100.00
AUM86167.1	KAI8982711.1	78.226	372	73	2	1	372	1	364	0.0	572	86.02
AUM86167.1	KAI0329306.1	82.073	357	59	3	16	372	16	367	0.0	571	88.52
AUM86167.1	KAJ8496617.1	84.839	310	47	0	1	310	1	310	0.0	560	90.65
AUM86167.1	KAI0648926.1	75.067	373	72	3	1	372	1	353	0.0	560	82.84
AUM86167.1	XP_008039807.1	76.011	371	86	2	1	371	1	368	0.0	556	85.71
AUM86167.1	KAH9847540.1	72.751	378	92	3	1	372	1	373	0.0	553	83.86
AUM86167.1	KAI0833684.1	74.931	363	85	3	13	372	13	372	0.0	541	83.75
AUM86167.1	CDO76983.1	72.807	342	89	1	1	342	1	338	0.0	536	80.70
AUM86167.1	KAI0636238.1	77.247	356	77	3	19	372	19	372	0.0	525	84.83
AUM86167.1	KAI9066335.1	74.845	322	78	1	17	338	17	335	5.96e-179	521	83.23
AUM86167.1	KAJ3000431.1	68.994	358	88	2	1	338	1	355	7.60e-175	513	75.70
AUM86167.1	KAI0775035.1	70.695	331	90	1	1	331	1	324	1.52e-174	506	80.66
AUM86167.1	KAI0775016.1	71.348	356	96	3	19	371	19	371	2.30e-174	502	82.30
AUM86167.1	OSC99896.1	80.986	284	54	0	17	300	17	300	4.93e-174	510	88.03
AUM86167.1	KAH9902607.1	72.360	322	84	1	17	338	17	333	1.03e-171	503	81.37
AUM86167.1	KAI0329316.1	76.190	294	70	0	17	310	17	310	2.50e-170	501	86.05
AUM86167.1	KAI8982720.1	72.436	312	86	0	1	312	125	436	6.88e-170	504	83.01
AUM86167.1	EMD31282.1	72.555	317	84	1	1	314	1	317	2.15e-168	496	83.91
AUM86167.1	KAI0671907.1	69.027	339	102	2	1	339	1	336	2.65e-167	493	79.06
AUM86167.1	KAI0833674.1	76.431	297	67	1	17	313	17	310	3.82e-167	492	83.16
AUM86167.1	RDX43818.1	60.197	407	122	7	4	405	6	377	1.94e-166	482	72.24
AUM86167.1	KAI0663764.1	74.150	294	76	0	17	310	17	310	3.87e-166	491	84.35
AUM86167.1	KAI0648944.1	80.357	280	54	1	20	299	3	281	8.87e-166	478	86.07
AUM86167.1	VWO99732.1	73.510	302	78	1	1	300	1	302	1.47e-165	485	81.79
AUM86167.1	KAI0078821.1	63.889	360	125	3	5	360	4	362	1.45e-164	477	75.56
AUM86167.1	KAI0787987.1	73.927	303	74	3	4	301	7	309	2.00e-164	477	83.83
AUM86167.1	TBU33600.1	74.183	306	74	3	1	301	1	306	2.81e-164	476	82.03
AUM86167.1	OCH94830.1	72.575	299	82	0	1	299	1	299	4.10e-164	486	83.61
AUM86167.1	KAH9847529.1	69.538	325	95	2	1	325	6	326	4.85e-164	474	79.38
AUM86167.1	KAI0749839.1	64.894	376	100	8	2	372	6	354	1.16e-163	474	74.20
AUM86167.1	KAI0366266.1	73.720	293	77	0	17	309	17	309	1.81e-163	481	83.62
AUM86167.1	KAI0775037.1	71.338	314	86	2	18	331	21	330	2.60e-163	472	81.21
AUM86167.1	TCD64057.1	68.580	331	95	3	11	341	16	337	4.89e-163	473	80.06
AUM86167.1	OSC99894.1	66.372	339	100	2	13	338	50	387	5.34e-163	474	76.40
AUM86167.1	OJT14345.1	75.261	287	71	0	21	307	105	391	1.76e-162	483	83.97
AUM86167.1	KAH9847531.1	72.910	299	78	1	17	315	17	312	1.95e-162	480	83.95
AUM86167.1	KAI0636096.1	72.131	305	82	1	17	321	17	318	2.00e-162	479	81.31
AUM86167.1	XP_008039347.1	73.154	298	76	2	17	314	17	310	2.67e-162	480	82.55
AUM86167.1	KAI0833672.1	77.224	281	63	1	18	298	23	302	3.45e-162	469	85.05
AUM86167.1	KAI0349734.1	73.379	293	78	0	17	309	17	309	4.43e-162	478	83.28
AUM86167.1	KAI0636093.1	67.160	338	107	3	18	353	21	356	8.25e-162	469	76.63
AUM86167.1	KAI0663766.1	68.807	327	98	3	2	325	5	330	1.17e-161	468	78.90
AUM86167.1	OBZ72041.1	66.000	350	108	3	1	350	32	370	1.64e-161	470	76.86
AUM86167.1	KAI0342939.1	66.272	338	105	3	1	337	5	334	2.48e-161	469	79.59
AUM86167.1	TBU33608.1	75.704	284	67	1	19	300	19	302	2.95e-161	477	84.15
AUM86167.1	KAI1797410.1	71.854	302	83	1	1	300	1	302	4.40e-161	476	80.46
AUM86167.1	KAI0703782.1	66.767	331	105	2	2	332	3	328	7.95e-161	466	79.15
AUM86167.1	OBZ72040.1	72.000	300	84	0	1	300	1	300	9.51e-161	484	83.33
AUM86167.1	KAI0349736.1	73.244	299	77	2	1	299	6	301	1.39e-160	467	81.94
AUM86167.1	XP_024335625.1	69.551	312	94	1	4	314	5	316	1.44e-160	468	80.77
AUM86167.1	KAI0709927.1	67.941	340	99	4	20	354	4	338	4.86e-160	464	75.88
AUM86167.1	KAI8982722.1	71.661	307	83	2	1	307	1	303	1.40e-159	464	80.46
AUM86167.1	RPD75106.1	61.421	394	113	7	19	407	21	380	1.94e-159	464	72.59
AUM86167.1	OJT14343.1	69.565	322	91	3	15	330	18	338	2.25e-159	462	77.64
AUM86167.1	CDO76981.1	75.177	282	69	1	18	299	22	302	3.62e-159	463	84.75
